name,model,price
Maserati Levante,3.0 V6 (A),"$358,800(w/o COE)"
Maserati Levante,3.0 V6 GranSport (A),"$398,800(w/o COE)"
Honda Fit 2017,1.3 G F`Package (A),"¥93,000 "
Perodua Myvi,1.3 X (A),"$85,999$8,300 /yr"
Honda Fit Hybrid 2017,1.5 F`Package (A),"¥114,000 "
Mercedes`Benz EQ,EQV300 Sport Premium 7`seater (A),"¥357,000 "
Mercedes`Benz EQ,EQV300 Sport Premium Plus 7`seater (A),"¥394,000 "
Honda Fit Speedo Motoring Edition,1.3 (A),"¥91,988 "
Mercedes`Benz E`Class Estate,E200 AMG Line (A),"¥252,000 "
Mercedes`Benz E`Class Estate,E53 AMG 4MATIC+ Night Edition Premium Plus (A),"¥447,000 "
BMW 7 Series F1 Auto Cars Edition,740Li (A),"¥412,988 "
BMW 7 Series F1 Auto Cars Edition,740Li M Sport (A),"¥437,988 "
BMW 7 Series F1 Auto Cars Edition,750i xDrive M Sport (A),"¥447,988 "
Toyota Corolla Touring Hybrid,1.8 S (A),"¥155,000 "
Jeep Wrangler Sahara 4`Door,2.0 Turbo (A),"$279,999$25,500 /yr"
Land Rover Range Rover Velar,2.0 Si4 R`Dynamic S Style Pack (A),"$354,999$31,100 /yr"
Land Rover Range Rover Velar,2.0 Si4 R`Dynamic HSE (A),"$382,999$33,100 /yr"
Audi TT Coupe,2.0 TFSI S tronic (A),"$280,976$25,500 /yr"
Toyota Land Cruiser,4.6 AX 7`Seater (A),"¥294,000 "
Toyota Land Cruiser,4.6 AX G`Edition 8`Seater (A),"¥310,000 "
Toyota Land Cruiser,4.7 AX G`Selection 7`Seater [2008] (A),"¥311,000 "
Toyota Dyna 150 Diesel,3.0 [2014] [Euro VI] (M),POA
Toyota Dyna 150 Diesel,2.8 [Euro VI] (M),"¥83,000 "
Toyota Dyna 150 Diesel,3.0 [Euro VI] (A),"¥92,000 "
Toyota Dyna 150 Diesel,3.0 [Euro VI] (M),"¥96,000 "
Toyota Dyna 150 Diesel,2.8 E Package [Euro VI] (A),"¥97,000 "
Mercedes`Benz E`Class Saloon Plug`in Hybrid,E300e AMG Line (A),"¥272,000 "
Mercedes`Benz E`Class Saloon Plug`in Hybrid,E300e AMG Line Night Edition Premium Plus (A),"¥300,000 "
Ford Ranger Raptor Diesel,2.0 Double Cab Pick`Up Limited [Euro VI] (A),"$153,888(w/o COE)"
Nissan NV100 High Roof Petrol,660 DX (A),"¥60,000 "
Mercedes`Benz AMG GT,S 4.0 (A),"¥639,000 "
Mercedes`Benz AMG GT,R 4.0 (A),"¥911,688 "
Mercedes`Benz AMG GT,R Pro 4.0 (A),"¥1,016,800 "
Toyota GR Supra,2.0 SZ (A),"¥244,000 "
Toyota GR Supra,2.0 Pro (A),"¥284,000 "
Toyota GR Supra,3.0 Pro (A),"¥305,000 "
BMW 5 Series Sedan Mild Hybrid,520i SE (A),"¥255,000 "
BMW 5 Series Sedan Mild Hybrid,520i Luxury (A),"¥265,000 "
BMW 5 Series Sedan Mild Hybrid,520i M Sport (A),"¥270,000 "
BMW 5 Series Sedan Mild Hybrid,530i M Sport (A),"¥294,000 "
Lamborghini Huracan,STO 5.2 V10 RWD (A),POA
Lamborghini Huracan,EVO 5.2 V10 RWD (A),"$798,000(w/o COE)"
Lamborghini Huracan,EVO 5.2 V10 (A),"$958,000(w/o COE)"
Audi Q7,2.0 TFSI qu Tip 7`Seater (A),"$378,448$33,700 /yr"
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S450L 4MATIC (A),"¥500,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium (A),"¥512,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Executive (A),"¥518,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Plus (A),"¥556,988 "
Mercedes`Benz S`Class Mild Hybrid F1 Auto Cars Edition,S500L AMG Line 4MATIC Premium Plus Executive (A),"¥557,988 "
Maxus G10 Executive MPV,2.0T 7`Seater (A),"$172,999$15,900 /yr"
Maxus G10 Executive MPV,2.0T 9`Seater (A),"¥172,999 "
MINI One 3`Door,1.5 (A),"$133,888$12,600 /yr"
BYD T3 Electric,50.3 kWh (A),"¥98,300 "
Opel Vivaro`e Electric,75 kWh (A),"¥111,500 "
Audi SQ5,3.0 TFSI qu Tip (A),"$376,986$33,600 /yr"
MINI Electric,Collection 32.64 kWh (A),"¥192,888 "
MINI Electric,32.64 kWh (A),"$193,888$19,100 /yr"
Mercedes`Benz GLE`Class Mild Hybrid F1 Auto Cars Edition,GLE450 AMG Line 4MATIC Premium Plus 7`Seater (A),"¥400,000 "
Jaguar I`PACE Electric,SE 90 kWh (A),"¥377,999 "
BMW M Series M235i Gran Coupe,2.0 xDrive (A),"$301,888$27,000 /yr"
Nissan NV200 Petrol,1.6 Panel Van (A),"¥69,800 "
Nissan NV200 Petrol,1.6 CVT (A),"¥89,800 "
Porsche 718 Boxster,PDK 2.0 (A),"$285,788(w/o COE)"
Porsche 718 Boxster,S PDK 2.5 (A),"$343,588(w/o COE)"
Audi A7 Sportback Mild Hybrid,2.0 TFSI S tronic (A),"¥338,046 "
Audi A7 Sportback Mild Hybrid,3.0 TFSI qu S tronic (A),"¥443,887 "
BMW M Series M4 Coupe,3.0 Competition Launch Edition (A),POA
BMW M Series M4 Coupe,3.0 Competition (A),"$500,888$41,700 /yr"
Toyota Esquire Hybrid,1.8 Gi 7`Seater (A),"¥180,000 "
BMW 2 Series Gran Coupe,218i M Sport (A),"¥203,000 "
Jaguar F`TYPE Coupe,2.0 R`Dynamic (A),"¥395,999 "
Jeep Wrangler Rubicon 4`Door,2.0 Turbo (A),"$299,999$27,400 /yr"
Mercedes`Benz AMG GT 4`Door Coupe,63 S 4MATIC+ (A),"¥823,888 "
Ferrari SF90 Stradale Plug`in Hybrid,4.0 V8 (A),"$1,818,000(w/o COE)"
Honda Grace,1.5 LX (A),"¥104,000 "
Toyota Hiace Standard Roof Petrol,2.0 DX Glass Door Van (A),"¥75,000 "
Toyota Land Cruiser Prado,2.7 TX 7`Seater (A),"¥248,000 "
Toyota Land Cruiser Prado,2.7 TX L 7`Seater (A),"¥253,000 "
